title,num_comments,link,text,comments
В администрации президента Узбекистана произведено новое назначение,2,https://uznews.uz/posts/6620,Заместителем советника президента по вопросам государственной службы и взаимодействия с представительными органами власти стал Туляганов Абдуманноп Абдужаббарович. Соответствующий указ подписал Шавкат Мирзиёев. Абдуманноп Туляганов имеет ученую степень доктора юридических наук. До этого назначения он занимался научной деятельностью. ,"['Советник, Первый Заместитель советника, Старший заместитель советника, средний заместитель советника, младший заместитель советника..Госбюджет резиновый, всех прокормит... ']"
Президент назначил нового заместителя министра юстиции,0,https://uznews.uz/posts/6669,"Согласно указу президента, Каримов Алишер Нишанович назначен заместителем министра юстиции. С 2019 года он возглавлял Главное управление законодательства Минюста. На этом посту Алишер Каримов сменил Бахрома Кучкарова, который занял должность заместителя председателя Центральной избирательной комиссии.",[]
Зайниддин Низамходжаев назначен председателем ЦИК,4,https://uznews.uz/posts/6681,"Как сообщает пресс-служба Минюста, Низамходжаев Зайниддин Махаматович назначен председателем Центральной избирательной комиссии. С января 2020 года он работал заместителем председателя Сената. Кучкаров Бахром Тулкинович назначен заместителем председателя ЦИК. С мая прошлого года он занимал должность заместителя министра юстиции Узбекистана.","['Чистка Сената от старых Политических деятелей ', 'Ещё один Хаджибаевский родственник, на дережное место. ']"
Сенат утвердил кандидатуры омбудсмана Узбекистана и председателя Комитета по делам женщин и гендерного равенства,4,https://uznews.uz/posts/6690,"Сенат Олий Мажлиса принял постановление об избрании Эшматовой Ферузы Фарходовны омбудсманом - уполномоченным Олий Мажлиса Узбекистана по правам человека. Об этом сообщили в пресс-службе верхней палаты парламента. В связи с этим, Ф. Эшматова освобождена от должности председателя Комитета Сената Олий Мажлиса по вопросам женщин и гендерного равенства. Главой Комитета назначена Сенатор Кадирханова Малика Акбаровна, до этого работавшая в Комитете по бюджету и экономическим реформам Сената Олий Мажлиса.","['Вообще-то, правильно говорить Ombudswoman, потому что она женщина. Если бы на этой должности был мужчина, то он бы был Ombudsman. ', 'Расследование может проведем на министров , премьер министра, хокимов! Есть ли честный прокурор и следователь? Какие машины имеют, какие производства, какие дома! Необходимо начинать с 90го года!!! Кто чего добился, ??? Народу интересно!']"
Назначен заместитель председателя Верховного суда Узбекистана,0,https://uznews.uz/posts/6693,"На двенадцатом пленарном заседании верхней палаты парламента принято постановление об избрании Турахуджаева Халилилло Собиржоновича на должность заместителя председателя Верховного суда  – председателя Судебной коллегии по гражданским делам на бессрочный период пребывания в должности. Об этом сообщает пресс-служба Сената. Кроме этого, Кадиров Лукмон Мухтарович, Мелибоев Талъатжон Бахтиёрович, Эранов Абдурасул Гаппорович освобождены от занимаемых должностей судей Верховного суда в связи с переходом на другую работу. ",[]
Мирза-Улугбек Абдусаломов назначен судьей Конституционного суда,16,https://uznews.uz/posts/6696,"Сегодня, 5 февраля, в Ташкенте начало свою работу двенадцатое пленарное заседание Сената Олий Мажлиса Республики Узбекистан. В ходе заседания Мирза-Улугбек Абдусаломов был назначен судьей Конституционого суда. До этого он на протяжении 16 лет работал председателем Центральной избирательной комиссии. Также досрочно прекращены полномочия судьи Конституционного суда Республики Узбекистан Миралимова Бахтиера Дехконбоевича. ","['Этих ЦИКовцев всех на висилицу.\n""Благодаря""таким богобоязненным Узбекистан в жопе а президенты избираются на вечно.\nwtf', 'Напомню читателям: Именно при этом добром и пожилом человеке когда у Каримова уже закончились все варианты с продлениями, обнулениями и референдумами - он продолжал выдвигаться на пост Президента, просто тупо наложив на Конституцию (2 срока). Справедливости ради, под восторги и аплодисменты и Конституционного суда, и Сената, и партий,  и молчаливого согласия народа. А теперь это назначение... М-да.', 'Он хороший и добрый,очень порядочный человек дай бог ему крепкого здоровья,удачи Вам Мирзо-Улугбек ака.', 'Нормальное назначение,будет председателем Конституционного суда.', 'да все у нас продажное когда пачки зелени видят. ', 'У нас ""доверенные"" люди не уходят просто так', 'Старый человек, наверное, вспомнил, что скоро встречаться с Создателем и не захотел принимать участие в очередном обмане народа. Хотя в конституционном суде придется еще хуже врать.', 'Предвыборная рокировка']"
Назначен еще один заместитель советника президента,14,https://uznews.uz/posts/6743,"На должность заместителя советника президента по вопросам развития отраслей экономики, реализации инвестиционной и внешнеторговой политики назначен Атабаев Шухрат Халдарович. Соответствующий указ подписал Шавкат Мирзиёев. До назначения Ш. Атабаев работал председателем правления «Ипотека-банка». Ранее мы писали о назначении Дилшода Кенжаева еще одним заместителем советника президента.","['Вот этим и отличаются большинство стран СНГ,вся верхушка сидит знакомых и друзей,а посадить на должностное место человека из народа фиг... Как говорится страна отличная,а как государство не очень...', 'Первый зам, заместитель Первого зама и зама зам... бюджетные деньги проедаете!  ', 'Это говорит о том, что кадровая политика на нуле, а точнее на минусе!', 'Столько дормоедов. Он то сам помнит кто ему что советует. Система гнилая. Нам бы сейчас Сталина и растрелять бы всех крахоборов и прочих казнокрадов.', 'Зачем ""ему"" столько советников и замов когда всеравно ничего не изменилось и не изменится. \nМожет это новая стратегия перед выборами ....', 'Назначили бы кого-то из простого народа. Того кто видел реальную жизнь. Того кто знает проблемы народа и знает жизнь простого народа. Ведь государство это народ этого государства.', '...……']"
Назначен новый заместитель советника президента,6,https://uznews.uz/posts/6777,"Заместитель министра народного образования Кенжаев Дилшод Муталибович назначен заместителем советника президента по вопросам молодежи, науки, образования, здравоохранения, культуры и спорта. Об этом сообщила пресс-служба МНО. На этом посту он сменил Амрилло Иноятова, который занимал данную должность с июля прошлого года. ","['ничего нового ', 'Сарказм?)', 'Узбекская земля полна талантами! Молодые и энергичные патриоты отечества теперь под защитой государства а не СНБ! ']"
В системе МВД произведено назначение на руководящую должность,4,https://uznews.uz/posts/6779,Полковник Турсунов Рустам Рахмонович назначен на должность начальника Главного управления исполнения наказаний МВД Республики Узбекистан. Об этом сообщили в пресс-службе ведомства. До назначения Рустам Турсунов занимал должность начальника УВД Навоийской области. ,"['Система ГУИН- государство внутри государства! ', 'Смотрящий.']"
Назначены заместители хокима Ташкентской области,0,https://uznews.uz/posts/6786,"В Нурафшане прошло очередное заседание Ташкентского областного Кенгаша народных депутатов, в ходе которого были назначены новые заместители хокима области, пишет УзА. Узаков Улугбек Юлдашевич назначен заместителем хокима области по вопросам сельского и водного хозяйства. До назначения он работал хокимом Дустликского района Джизакской области. Миргазиева Зухра Тураевна заняла должность заместителя хокима области по вопросам молодежной политики, социального развития и духовно-просветительской работы. До этого Зухра Миргазиева возглавляла региональный отдел Агентства по делам молодежи. ",[]
